filename	length	ntokens	ntypes	mtld	mtld92	mtldo	mattr	mattr11	ttr	rttr	lttr	maas	msttr	hdd
GRA_PTJ0_112_ORIG.txt	20	20	17.4	55.43999999999999	15.98199999999999	55.43999999999999	0.87	0.9490909090909091	0.87	3.8907582808496337	0.9526976906275146	0.03635758555154955	0.87	0.0
GRA_PTJ0_112_ORIG.txt	40	40	28	36.71773737373738	14.683333333333334	40.68120006030454	0.7	0.9551515151515152	0.7	4.427188724235731	0.9024719530362652	0.06087665099413224	0.7	0.0
GRA_PTJ0_112_ORIG.txt	60	60	37	47.30277777777779	15.594999999999997	40.174375577278454	0.6612121212121213	0.9533333333333334	0.6166666666666667	4.77667946032248	0.8816899714294093	0.0665354134217012	0.6133333333333333	0.6904492981563944
GRA_PTJ0_112_ORIG.txt	80	80	45.5	38.65525	16.15909090909091	38.79041406693136	0.6712903225806452	0.95	0.56875	5.087054648812021	0.8712069235092232	0.06767576802521526	0.6699999999999999	0.7061044071961791
GRA_PTJ0_112_ORIG.txt	100	100	51	42.34791666666666	19.95238095238095	43.21013918640023	0.6607843137254902	0.9565656565656566	0.51	5.1	0.8537433369927045	0.07312833150364775	0.675	0.6937559543648364
GRA_PTJ0_112_ORIG.txt	120	120	61	50.140000000000015	14.6875	36.888088457027976	0.6428169014084507	0.952892561983471	0.5083333333333333	5.5685126679691885	0.8586696510487251	0.0679740398870632	0.62	0.7099532668462092
GRA_PTJ0_112_ORIG.txt	140	140	65	42.535555555555554	14.833333333333334	39.7337655141844	0.6632967032967033	0.9468531468531468	0.4642857142857143	5.493502655735358	0.8447368127642593	0.07234572432519064	0.62	0.7073129373514996
GRA_PTJ0_112_ORIG.txt	160	160	70	37.888	15.35	36.85915423620342	0.6727927927927928	0.9490909090909091	0.4375	5.533985905294664	0.837113249066844	0.07390103633872072	0.6533333333333333	0.6972372448322797
GRA_PTJ0_112_ORIG.txt	180	180	75	41.881600000000006	16.28909090909091	40.32341142093012	0.6699236641221374	0.9545454545454546	0.4166666666666667	5.590169943749474	0.8314122835039884	0.0747527033272146	0.6533333333333333	0.7039378492741521
GRA_PTJ0_112_ORIG.txt	200	200	80	40.29844444444445	16.25	40.29964075221268	0.675364238410596	0.9564593301435407	0.4	5.65685424949238	0.8270600516195319	0.07515762450135505	0.675	0.7034162708965579
GRA_PTJ0_070_ORIG.txt	20	20	17.4	36.69	11.753999999999996	36.839999999999996	0.87	0.9418181818181818	0.87	3.890758280849634	0.9514458362903749	0.03731978806902558	0.87	0.0
GRA_PTJ0_070_ORIG.txt	40	40	31.4	52.25777777777778	17.766666666666666	55.05777777777779	0.785	0.9418181818181818	0.785	4.964775926464355	0.9338100957034386	0.0413154967072712	0.785	0.0
GRA_PTJ0_070_ORIG.txt	60	60	42	65.54679738562095	16.066666666666666	54.2858617131063	0.7296969696969697	0.9387878787878787	0.7	5.422176684690383	0.9125556179097034	0.04917713387510207	0.74	0.7650846738545524
GRA_PTJ0_070_ORIG.txt	80	80	51.5	44.55375000000001	18.2175	44.554713420026474	0.7774193548387097	0.9415584415584415	0.64375	5.757875042061958	0.8993914889299712	0.0528658716916756	0.75	0.773533228375
GRA_PTJ0_070_ORIG.txt	100	100	62.5	42.51857638888889	17.473181818181814	43.01999025978908	0.7380392156862745	0.9515151515151515	0.625	6.25	0.8978774522486636	0.05106127387566822	0.74	0.7843519795137479
GRA_PTJ0_070_ORIG.txt	120	120	65	42.4	16.846153846153847	50.0	0.7250704225352113	0.9314049586776859	0.5416666666666666	5.9336610396393	0.8719361816527897	0.061593388546886146	0.73	0.7655545029275936
GRA_PTJ0_070_ORIG.txt	140	140	72	54.47619047619049	21.741333333333333	44.75409836065573	0.7320879120879121	0.9384615384615385	0.5142857142857142	6.08511063404532	0.8654341519024507	0.06270168688002933	0.73	0.7685125018089051
GRA_PTJ0_070_ORIG.txt	160	160	80	40.625	18.75	40.869565217391305	0.7464864864864865	0.9418181818181818	0.5	6.324555320336758	0.8634239524015179	0.061963980487990684	0.7666666666666666	0.7739961049058723
GRA_PTJ0_070_ORIG.txt	180	180	88	42.375	17.25	45.0	0.748854961832061	0.9433155080213904	0.4888888888888889	6.559132733999383	0.8621941108004147	0.061103874980851985	0.7666666666666666	0.7720635153558946
GRA_PTJ0_070_ORIG.txt	200	200	96	44.38444444444444	17.309565217391306	45.65972222222222	0.7382781456953642	0.9454545454545454	0.48	6.788225099390856	0.8614712701594173	0.06020292221380152	0.74	0.7776415916591224
GRA_PTJ0_124_ORIG.txt	20	20	17.7	55.06666666666667	16.315999999999995	55.06666666666667	0.885	0.9590909090909091	0.885	3.9578403201746277	0.9588869202526195	0.03160040881793699	0.885	0.0
GRA_PTJ0_124_ORIG.txt	40	40	32	56.711111111111116	17.73333333333333	56.711111111111116	0.8	0.9533333333333334	0.8	5.059644256269407	0.9394031792163746	0.037824314389997435	0.8	0.0
GRA_PTJ0_124_ORIG.txt	60	60	44	62.66666666666667	16.59626984126984	65.0	0.7787878787878788	0.96	0.7333333333333333	5.680375574437544	0.9240795831254719	0.04269626493142692	0.7666666666666667	0.789957945711736
GRA_PTJ0_124_ORIG.txt	80	80	50.5	62.04908333333333	15.338888888888889	62.13885413121436	0.7380645161290322	0.9532467532467532	0.6312500000000001	5.646071643186969	0.894912864590079	0.055219215133396546	0.75	0.7437965793382384
GRA_PTJ0_124_ORIG.txt	100	100	61	59.651568627450985	16.69538461538461	60.03929813719792	0.7656862745098039	0.9606060606060606	0.61	6.1	0.8924019918867061	0.05379900405664695	0.76	0.7641849717692789
